name,kind,family,ic_old,t_old,ic_new,t_new,both_cohorts_positive,old_cohort_only
f_lag1_raw,scenario,orthogonal,0.0079,0.36,0.0173,0.85,True,False
f_lag1_sn,scenario,orthogonal,0.0051,0.26,0.0178,0.87,True,False
f_rmean_5_raw,scenario,orthogonal,0.0083,0.38,0.0084,0.41,True,False
f_rmean_5_sn,scenario,orthogonal,0.0142,0.77,0.0092,0.44,True,False
f_rstd_5_raw,scenario,orthogonal,0.0139,0.81,0.0151,0.83,True,False
f_rstd_5_sn,scenario,orthogonal,0.0227,1.32,0.0143,0.78,True,False
f_rchg_5_raw,scenario,orthogonal,-0.0078,-0.49,-0.0101,-0.56,False,False
f_rchg_5_sn,scenario,orthogonal,0.0083,0.51,-0.0094,-0.52,False,True
f_rmean_21_raw,scenario,orthogonal,0.0123,0.56,0.0249,1.27,True,False
f_rmean_21_sn,scenario,orthogonal,0.0095,0.51,0.0245,1.25,True,False
f_rstd_21_raw,scenario,orthogonal,0.0102,0.57,0.0262,1.45,True,False
f_rstd_21_sn,scenario,orthogonal,0.029,1.75,0.0242,1.33,True,False
f_rchg_21_raw,scenario,orthogonal,-0.0141,-0.79,-0.027,-1.73,False,False
f_rchg_21_sn,scenario,orthogonal,0.0151,0.91,-0.0248,-1.58,False,True
f_rmean_63_raw,scenario,orthogonal,0.0139,0.69,0.0188,0.94,True,False
f_rmean_63_sn,scenario,orthogonal,0.0165,0.89,0.018,0.9,True,False
f_rstd_63_raw,scenario,orthogonal,-0.0025,-0.15,0.0139,0.78,False,False
f_rstd_63_sn,scenario,orthogonal,-0.0095,-0.56,0.0131,0.73,False,False
f_rchg_63_raw,scenario,orthogonal,-0.0117,-0.69,-0.0227,-1.32,False,False
f_rchg_63_sn,scenario,orthogonal,-0.0127,-0.74,-0.0205,-1.19,False,False
f_z_raw,scenario,orthogonal,0.0094,0.45,0.0065,0.33,True,False
f_z_sn,scenario,orthogonal,0.0162,0.88,0.0071,0.36,True,False
f_sector_z_raw,scenario,orthogonal,0.0052,0.29,0.0072,0.37,True,False
f_sector_z_sn,scenario,orthogonal,0.0105,0.61,0.0071,0.36,True,False
f_rank_raw,scenario,orthogonal,0.0094,0.45,0.0065,0.33,True,False
f_rank_sn,scenario,orthogonal,0.014,0.77,0.0074,0.37,True,False
f_winz_raw,scenario,orthogonal,0.0094,0.45,0.0065,0.33,True,False
f_winz_sn,scenario,orthogonal,0.0163,0.88,0.0072,0.36,True,False
f_x_surprise_raw,scenario,orthogonal,-0.022,-1.59,0.0074,0.4,False,False
f_x_surprise_sn,scenario,orthogonal,-0.0184,-1.04,0.0065,0.35,False,False
f_x_quality_raw,scenario,orthogonal,-0.0093,-0.52,-0.025,-1.43,False,False
f_x_quality_sn,scenario,orthogonal,-0.0182,-1.03,-0.0261,-1.49,False,False
f_x_value_raw,scenario,orthogonal,-0.03,-1.58,-0.0088,-0.49,False,False
f_x_value_sn,scenario,orthogonal,-0.0149,-0.84,-0.0113,-0.62,False,False
f_x_mom_raw,scenario,orthogonal,0.0111,0.7,0.0067,0.42,True,False
f_x_mom_sn,scenario,orthogonal,0.0105,0.72,0.0076,0.49,True,False
orthogonal_blend__ic_weighted,model,model,0.0298,1.67,-0.0347,-1.69,False,True
